DATE,CUSR0000SEHG
1997-12-01,100.100
1998-01-01,100.200
1998-02-01,100.700
1998-03-01,100.900
1998-04-01,101.100
1998-05-01,101.300
1998-06-01,101.500
1998-07-01,101.900
1998-08-01,102.000
1998-09-01,102.300
1998-10-01,102.400
1998-11-01,102.600
1998-12-01,102.900
1999-01-01,103.100
1999-02-01,103.200
1999-03-01,103.300
1999-04-01,103.600
1999-05-01,103.700
1999-06-01,103.900
1999-07-01,104.100
1999-08-01,104.200
1999-09-01,104.400
1999-10-01,104.700
1999-11-01,104.800
1999-12-01,104.900
2000-01-01,105.200
2000-02-01,105.500
2000-03-01,105.700
2000-04-01,105.900
2000-05-01,106.100
2000-06-01,106.400
2000-07-01,106.700
2000-08-01,106.800
2000-09-01,107.100
2000-10-01,107.200
2000-11-01,107.700
2000-12-01,108.000
2001-01-01,108.100
2001-02-01,108.400
2001-03-01,108.600
2001-04-01,108.800
2001-05-01,109.000
2001-06-01,109.200
2001-07-01,109.600
2001-08-01,110.000
2001-09-01,110.300
2001-10-01,110.600
2001-11-01,110.800
2001-12-01,111.100
2002-01-01,111.600
2002-02-01,111.800
2002-03-01,112.300
2002-04-01,112.600
2002-05-01,112.700
2002-06-01,112.600
2002-07-01,113.000
2002-08-01,113.500
2002-09-01,113.600
2002-10-01,113.900
2002-11-01,114.300
2002-12-01,114.600
2003-01-01,114.800
2003-02-01,114.900
2003-03-01,115.700
2003-04-01,116.100
2003-05-01,116.400
2003-06-01,116.600
2003-07-01,117.100
2003-08-01,117.800
2003-09-01,118.300
2003-10-01,118.900
2003-11-01,119.600
2003-12-01,120.000
2004-01-01,120.600
2004-02-01,121.500
2004-03-01,121.900
2004-04-01,122.300
2004-05-01,123.400
2004-06-01,123.800
2004-07-01,124.400
2004-08-01,125.100
2004-09-01,125.700
2004-10-01,126.100
2004-11-01,126.400
2004-12-01,126.600
2005-01-01,127.500
2005-02-01,128.100
2005-03-01,128.600
2005-04-01,129.100
2005-05-01,129.600
2005-06-01,130.100
2005-07-01,130.700
2005-08-01,131.000
2005-09-01,131.400
2005-10-01,132.000
2005-11-01,132.700
2005-12-01,133.200
2006-01-01,133.800
2006-02-01,134.500
2006-03-01,134.900
2006-04-01,135.500
2006-05-01,135.900
2006-06-01,136.600
2006-07-01,137.000
2006-08-01,137.600
2006-09-01,138.200
2006-10-01,138.700
2006-11-01,139.100
2006-12-01,139.600
2007-01-01,140.397
2007-02-01,140.911
2007-03-01,141.621
2007-04-01,142.293
2007-05-01,142.818
2007-06-01,143.337
2007-07-01,144.188
2007-08-01,144.615
2007-09-01,145.177
2007-10-01,145.539
2007-11-01,146.365
2007-12-01,147.094
2008-01-01,148.039
2008-02-01,148.677
2008-03-01,149.199
2008-04-01,149.695
2008-05-01,150.338
2008-06-01,151.238
2008-07-01,152.061
2008-08-01,153.664
2008-09-01,154.139
2008-10-01,155.485
2008-11-01,156.173
2008-12-01,156.673
2009-01-01,157.073
2009-02-01,157.293
2009-03-01,157.985
2009-04-01,158.904
2009-05-01,159.809
2009-06-01,160.548
2009-07-01,161.473
2009-08-01,162.562
2009-09-01,163.238
2009-10-01,164.414
2009-11-01,164.950
2009-12-01,165.532
2010-01-01,166.687
2010-02-01,167.734
2010-03-01,168.470
2010-04-01,169.311
2010-05-01,170.048
2010-06-01,170.505
2010-07-01,171.222
2010-08-01,171.834
2010-09-01,172.675
2010-10-01,173.168
2010-11-01,174.147
2010-12-01,174.973
2011-01-01,175.680
2011-02-01,176.822
2011-03-01,177.543
2011-04-01,178.119
2011-05-01,178.706
2011-06-01,179.304
2011-07-01,179.862
2011-08-01,180.111
2011-09-01,181.475
2011-10-01,181.794
2011-11-01,182.370
2011-12-01,183.219
2012-01-01,183.960
2012-02-01,185.051
2012-03-01,185.999
2012-04-01,187.400
2012-05-01,187.921
2012-06-01,189.068
2012-07-01,189.776
2012-08-01,191.422
2012-09-01,191.777
2012-10-01,192.337
2012-11-01,193.119
2012-12-01,193.706
2013-01-01,194.548
2013-02-01,195.060
2013-03-01,195.671
2013-04-01,196.180
2013-05-01,196.872
2013-06-01,197.503
2013-07-01,198.145
2013-08-01,198.366
2013-09-01,198.742
2013-10-01,199.822
2013-11-01,200.186
2013-12-01,200.661
2014-01-01,201.127
2014-02-01,201.736
2014-03-01,202.363
2014-04-01,202.930
2014-05-01,203.260
2014-06-01,203.791
2014-07-01,205.073
2014-08-01,205.900
2014-09-01,206.330
2014-10-01,207.704
2014-11-01,208.734
