DATE,CUUR0000SAS4
1935-03-01,11.800
1935-04-01,.
1935-05-01,.
1935-06-01,.
1935-07-01,11.800
1935-08-01,.
1935-09-01,.
1935-10-01,11.800
1935-11-01,.
1935-12-01,.
1936-01-01,11.800
1936-02-01,.
1936-03-01,.
1936-04-01,11.800
1936-05-01,.
1936-06-01,.
1936-07-01,11.700
1936-08-01,.
1936-09-01,11.700
1936-10-01,.
1936-11-01,.
1936-12-01,11.700
1937-01-01,.
1937-02-01,.
1937-03-01,11.700
1937-04-01,.
1937-05-01,.
1937-06-01,11.700
1937-07-01,.
1937-08-01,.
1937-09-01,11.700
1937-10-01,.
1937-11-01,.
1937-12-01,11.700
1938-01-01,.
1938-02-01,.
1938-03-01,11.700
1938-04-01,.
1938-05-01,.
1938-06-01,11.800
1938-07-01,.
1938-08-01,.
1938-09-01,11.800
1938-10-01,.
1938-11-01,.
1938-12-01,11.800
1939-01-01,.
1939-02-01,.
1939-03-01,11.800
1939-04-01,.
1939-05-01,.
1939-06-01,11.800
1939-07-01,.
1939-08-01,.
1939-09-01,11.800
1939-10-01,.
1939-11-01,.
1939-12-01,11.800
1940-01-01,.
1940-02-01,.
1940-03-01,11.800
1940-04-01,.
1940-05-01,.
1940-06-01,11.800
1940-07-01,.
1940-08-01,.
1940-09-01,11.800
1940-10-01,.
1940-11-01,.
1940-12-01,11.800
1941-01-01,.
1941-02-01,.
1941-03-01,11.800
1941-04-01,.
1941-05-01,.
1941-06-01,11.800
1941-07-01,.
1941-08-01,.
1941-09-01,11.800
1941-10-01,.
1941-11-01,.
1941-12-01,12.000
1942-01-01,.
1942-02-01,.
1942-03-01,12.500
1942-04-01,.
1942-05-01,.
1942-06-01,12.600
1942-07-01,.
1942-08-01,.
1942-09-01,12.600
1942-10-01,.
1942-11-01,.
1942-12-01,12.500
1943-01-01,.
1943-02-01,.
1943-03-01,12.500
1943-04-01,.
1943-05-01,.
1943-06-01,12.400
1943-07-01,.
1943-08-01,.
1943-09-01,12.500
1943-10-01,.
1943-11-01,.
1943-12-01,12.500
1944-01-01,.
1944-02-01,.
1944-03-01,12.500
1944-04-01,.
1944-05-01,.
1944-06-01,12.500
1944-07-01,.
1944-08-01,.
1944-09-01,12.500
1944-10-01,.
1944-11-01,.
1944-12-01,12.500
1945-01-01,.
1945-02-01,.
1945-03-01,12.500
1945-04-01,.
1945-05-01,.
1945-06-01,12.500
1945-07-01,.
1945-08-01,.
1945-09-01,12.500
1945-10-01,.
1945-11-01,.
1945-12-01,12.500
1946-01-01,.
1946-02-01,.
1946-03-01,12.700
1946-04-01,.
1946-05-01,.
1946-06-01,12.800
1946-07-01,.
1946-08-01,.
1946-09-01,12.700
1946-10-01,.
1946-11-01,.
1946-12-01,12.800
1947-01-01,.
1947-02-01,.
1947-03-01,13.000
1947-04-01,.
1947-05-01,.
1947-06-01,13.200
1947-07-01,.
1947-08-01,.
1947-09-01,13.200
1947-10-01,.
1947-11-01,.
1947-12-01,13.400
1948-01-01,.
1948-02-01,.
1948-03-01,13.600
1948-04-01,.
1948-05-01,.
1948-06-01,14.300
1948-07-01,.
1948-08-01,.
1948-09-01,15.800
1948-10-01,.
1948-11-01,.
1948-12-01,15.800
1949-01-01,.
1949-02-01,.
1949-03-01,16.100
1949-04-01,.
1949-05-01,.
1949-06-01,16.200
1949-07-01,.
1949-08-01,.
1949-09-01,16.500
1949-10-01,.
1949-11-01,.
1949-12-01,17.000
1950-01-01,.
1950-02-01,.
1950-03-01,17.000
1950-04-01,.
1950-05-01,.
1950-06-01,17.000
1950-07-01,.
1950-08-01,.
1950-09-01,17.800
1950-10-01,.
1950-11-01,.
1950-12-01,18.100
1951-01-01,.
1951-02-01,.
1951-03-01,18.800
1951-04-01,.
1951-05-01,.
1951-06-01,18.900
1951-07-01,.
1951-08-01,.
1951-09-01,19.400
1951-10-01,.
1951-11-01,.
1951-12-01,19.500
1952-01-01,.
1952-02-01,.
1952-03-01,19.700
1952-04-01,.
1952-05-01,.
1952-06-01,20.300
1952-07-01,.
1952-08-01,.
1952-09-01,20.800
1952-10-01,.
1952-11-01,.
1952-12-01,21.100
1953-01-01,.
1953-02-01,.
1953-03-01,21.300
1953-04-01,.
1953-05-01,.
1953-06-01,21.400
1953-07-01,.
1953-08-01,.
1953-09-01,22.100
1953-10-01,.
1953-11-01,.
1953-12-01,22.100
1954-01-01,.
1954-02-01,.
1954-03-01,22.700
1954-04-01,.
1954-05-01,.
1954-06-01,22.600
1954-07-01,.
1954-08-01,.
1954-09-01,22.700
1954-10-01,.
1954-11-01,.
1954-12-01,22.700
1955-01-01,.
1955-02-01,.
1955-03-01,22.800
1955-04-01,.
1955-05-01,.
1955-06-01,22.600
1955-07-01,.
1955-08-01,.
1955-09-01,22.600
1955-10-01,.
1955-11-01,.
1955-12-01,22.600
1956-01-01,22.800
1956-02-01,22.800
1956-03-01,22.900
1956-04-01,22.900
1956-05-01,23.000
1956-06-01,23.000
1956-07-01,23.000
1956-08-01,23.000
1956-09-01,23.100
1956-10-01,23.100
1956-11-01,23.200
1956-12-01,23.200
1957-01-01,23.400
1957-02-01,23.700
1957-03-01,23.700
1957-04-01,23.900
1957-05-01,23.900
1957-06-01,24.000
1957-07-01,24.200
1957-08-01,24.400
1957-09-01,24.400
1957-10-01,24.500
1957-11-01,24.600
1957-12-01,24.600
1958-01-01,24.900
1958-02-01,25.500
1958-03-01,25.500
1958-04-01,25.500
1958-05-01,25.600
1958-06-01,25.600
1958-07-01,25.700
